Date,Year,Direction,Day,Dist,ElapsedTime,ElapsedNum,AvgPace,AvgPaceNum,AvgSpeed,TotalAscent,TotalDescent,MinTemp,MaxTemp,Calories,AvgHR,Sleep,SleepNum
2023-08-04 4:21:33,2023,SoBo,3,49.72,15:32:22,15.539444,18:45,18.750000,3.21,11966,11763,61,82,5335,120,6:57:38,6.96056
2023-08-03 4:14:22,2023,SoBo,2,50.77,16:32:19,16.538611,19:33,19.550000,3.06,13548,13419,54,84,5877,125,5:57:41,5.96139
2023-08-02 4:23:23,2023,SoBo,1,56.82,15:07:52,15.131111,15:59,15.983333,3.76,6500,10782,46,77,6031,131,7:22:08,7.36889
2022-07-14 6:29:02,2022,NoBo,44,55.24,26:26:01,26.433611,28:43,28.716667,2.1,10352,5699,50,80.6,4295,,,0.00000
2022-07-13 5:29:34,2022,NoBo,43,43.25,18:10:04,18.167778,25:13,25.216667,2.38,10536,10511,57,77,3441,,4:19:56,4.33222
2022-07-12 4:00:05,2022,NoBo,42,45.26,16:47:48,16.796667,22:16,22.266667,2.69,9343,10159,61,82,3584,,5:42:12,5.70333
2022-07-11 5:03:56,2022,NoBo,41,37.13,14:54:05,14.901389,24:05,24.083333,2.49,7062,8817,55,95,2928,,7:35:55,7.59861
2022-07-10 5:05:11,2022,NoBo,40,35.88,15:44:52,15.747778,26:21,26.350000,2.28,12773,11253,46,79,2855,,6:45:08,6.75222
2022-07-09 5:34:09,2022,NoBo,39,35.04,14:29:15,14.487500,24:49,24.816667,2.42,10916,10726,46,82,2768,,8:00:45,8.01250
2022-07-08 3:59:58,2022,NoBo,38,39.32,18:41:44,18.695556,28:32,28.533333,2.1,15664,14947,57,79,3102,,3:48:16,3.80444
2022-07-07 4:18:15,2022,NoBo,37,34.99,16:09:22,16.156111,27:43,27.716667,2.17,11437,15436,39,82,2808,,6:20:38,6.34389
2022-07-06 4:11:09,2022,NoBo,36,36.59,16:00:47,16.013056,26:16,26.266667,2.28,14867,11303,48,75,5123,113,6:29:13,6.48694
2022-07-05 4:08:39,2022,NoBo,35,40.09,16:12:48,16.213333,24:16,24.266667,2.48,13495,13478,54,73,3174,,6:17:12,6.28667
2022-07-04 4:02:01,2022,NoBo,34,50.25,16:55:12,16.920000,20:12,20.200000,2.97,13525,13394,50,95,6180,118,5:34:48,5.58000
2022-07-03 7:57:18,2022,NoBo,33,43.55,14:07:11,14.119722,19:27,19.450000,3.08,11425,11533,57,81,5061,121,8:22:49,8.38028
2022-07-02 3:47:09,2022,NoBo,32,25.83,8:58:07,8.968611,20:50,20.833333,2.87,4847,6460,61,81,2912,112,13:31:53,13.53139
